front,back,tag
52 55,"Region: MX
Mexico: Mexico City area (country code + city code)",MX
201,"Region: NJ
N New Jersey: Jersey City, Hackensack (see split 973, overlay 551)",NJ
202,"Region: DC
Washington, D.C.",DC
203,"Region: CT
Connecticut: Fairfield County and New Haven County; Bridgeport, New Haven (see 860)",CT
204,"Region: MB
Canada: Manitoba (see overlay 431)",MB
205,"Region: AL
Central Alabama (including Birmingham; excludes the southeastern corner of Alabama and the deep south; see splits 256 and 334)",AL
206,"Region: WA
W Washington state: Seattle and Bainbridge Island (see splits 253, 360, 425; overlay 564)",WA
207,"Region: ME
Maine",ME
208,"Region: ID
Idaho",ID
209,"Region: CA
Cent. California: Stockton (see split 559)",CA
210,"Region: TX
S Texas: San Antonio (see also splits 830, 956)",TX
211,"Region: --
Local community info / referral services",--
212,"Region: NY
New York City, New York (Manhattan; see ovelays 332, 646, 917; split 718)",NY
213,"Region: CA
S California: Los Angeles (see 310, 323, 626, 818)",CA
214,"Region: TX
Texas: Dallas Metro (overlays 469/972)",TX
215,"Region: PA
SE Pennsylvania: Philadelphia (see overlays 267)",PA
216,"Region: OH
Cleveland (see splits 330, 440)",OH
217,"Region: IL
Cent. Illinois: Springfield",IL
218,"Region: MN
N Minnesota: Duluth",MN
219,"Region: IN
NW Indiana: Gary (see split 574, 260)",IN
220,"Region: OH
SE and Central Ohio (outside Columbus; overlaid on 740)",OH
223,"Region: PA
E Pennsylvania: Gettysburg, Harrisburg, Lancaster, Lebanan, and York (overlays 223, eff 8/2017)",PA
224,"Region: IL
Northern NE Illinois:  Evanston, Waukegan, Northbrook (overlay on 847, eff 1/5/02)",IL
225,"Region: LA
Louisiana: Baton Rouge, New Roads, Donaldsonville, Albany, Gonzales, Greensburg, Plaquemine, Vacherie (split from 504)",LA
226,"Region: ON
Canada: SW Ontario: Windsor (overlays 519, 548)",ON
228,"Region: MS
S Mississippi (coastal areas, Biloxi, Gulfport; split from 601)",MS
229,"Region: GA
SW Georgia: Albany (split from 912; see also 478; perm 8/1/00)",GA
231,"Region: MI
W Michigan: Northwestern portion of lower Peninsula; Traverse City, Muskegon, Cheboygan, Alanson",MI
234,"Region: OH
NE Ohio: Canton, Akron (overlaid on 330; perm 10/30/00)",OH
236,"Region: BC
Canada: British Columbia (see 250, 604)",BC
239,"Region: FL
Florida (Lee, Collier, and Monroe Counties, excl the Keys; see 305; eff 3/11/02; mand 3/11/03)",FL
240,"Region: MD
W Maryland: Silver Spring, Frederick, Gaithersburg (overlay, see 301)",MD
242,"Region: --
Bahamas",--
246,"Region: --
Barbados",--
248,"Region: MI
Michigan: Oakland County, Pontiac (split from 810; see overlay 947)",MI
250,"Region: BC
Canada: British Columbia (see 236, 604)",BC
